Institution,Country,Publications,Publications (growth %),Citations,Authors,Authors (growth %),Value of awards (USD), Value of awards (USD) (growth %),Citations per Publication,Field-Weighted Citation Impact
"Sklifosovsky Research Institute of Emergency Medicine","Russian Federation",202,245.5,193,358,168.6,0,0.0,1.0,0.17
"Central Research Institute for Machine Building","Russian Federation",197,41.7,513,237,66.7,0,0.0,2.6,0.53
"Rostov State University of Economics","Russian Federation",192,811.1,421,231,1530.0,0,0.0,2.2,2.17
"Yugra State University","Russian Federation",171,310.0,310,131,308.3,0,0.0,1.8,0.59
"Moscow State University of Food Production","Russian Federation",166,52.6,438,160,200.0,0,0.0,2.6,0.68
"Novosibirskij Gosudarstvennyj Agrarnyj Universitet","Russian Federation",166,500.0,200,185,407.1,0,0.0,1.2,0.44
"Cherepovets State University","Russian Federation",164,166.7,134,108,95.5,0,0.0,0.8,0.85
"Baltic State Technical University","Russian Federation",164,642.9,166,137,264.7,0,0.0,1.0,0.42
"Volgograd State Socio-Pedagogical University","Russian Federation",155,160.0,306,92,142.9,0,0.0,2.0,1.87
"Perm State Humanitarian Pedagogical University","Russian Federation",148,25.0,190,116,-32.4,0,0.0,1.3,0.29
"Moscow State University of Geodesy and Cartography","Russian Federation",146,400.0,434,99,206.7,0,0.0,3.0,0.82
"Pyatigorsk State Linguistic University","Russian Federation",133,-50.0,70,147,-21.9,0,0.0,0.5,1.24
"Ulyanovsk State Pedagogical University","Russian Federation",132,0.0,106,109,20.0,0,0.0,0.8,0.14
"Nizhny Novgorod State University of Architecture and Civil Engineering","Russian Federation",124,230.0,228,89,138.5,0,0.0,1.8,0.33
"Kalmyk State University","Russian Federation",120,35.7,99,120,100.0,0,0.0,0.8,1.04
"All-Russian Scientific Research Institute of Atomic Reactors","Russian Federation",119,-32.3,385,170,-42.5,0,0.0,3.2,0.85
"UC RUSAL","Russian Federation",117,80.0,196,128,71.4,0,0.0,1.7,0.61
"Sochi State University","Russian Federation",115,86.7,219,84,66.7,0,0.0,1.9,1.33
"Ukhta State Technical University","Russian Federation",104,21.4,66,90,0.0,0,0.0,0.6,0.20
"Ulyanovsk State Agricultural Academy","Russian Federation",104,1700.0,222,107,575.0,0,0.0,2.1,1.06
"Saint-Petersburg Pasteur Institute","Russian Federation",103,188.9,565,84,477.8,0,0.0,5.5,0.76
"Moscow State Academy of Veterinary Medicine and Biotechnology named after K.I. Skryabin","Russian Federation",102,500.0,128,67,300.0,0,0.0,1.3,0.41
"Rosneft Oil","Russian Federation",95,166.7,65,101,100.0,0,0.0,0.7,0.21
"The Gorbatov's All-Russian Meat Research Institute","Russian Federation",94,1500.0,54,85,2400.0,0,0.0,0.6,0.13
"Pskov State University","Russian Federation",94,150.0,66,105,142.9,0,0.0,0.7,0.54
"Murmansk State Technical University","Russian Federation",93,6.7,171,92,47.4,0,0.0,1.8,0.44
"Moscow City Teachers' Training University","Russian Federation",93,1300.0,114,95,1850.0,0,0.0,1.2,1.64
"Krasnoyarsk State Agrarian University","Russian Federation",80,900.0,77,63,933.3,0,0.0,1.0,0.34
"Russian State University of Physical Education, Sport, Youth and Tourism","Russian Federation",76,1350.0,46,93,1800.0,0,0.0,0.6,0.73
"Murmansk Arctic State University","Russian Federation",69,733.3,17,66,525.0,0,0.0,0.2,0.22
"Scientific Research Institute of Natural Gases and Gas Technologies","Russian Federation",63,-42.9,86,56,-71.4,0,0.0,1.4,0.28
"Russian New University","Russian Federation",53,-25.0,68,42,83.3,0,0.0,1.3,0.99
"Nikiforov’s All-Russian Center for Emergency and Radiation Medicine of the Emergencies Ministry of Russia","Russian Federation",53,250.0,71,79,52.9,0,0.0,1.3,0.24
"Linguistics University of Nizhny Novgorod","Russian Federation",49,275.0,38,39,200.0,0,0.0,0.8,0.49
"Saratov State Law Academy","Russian Federation",32,700.0,9,44,1600.0,0,0.0,0.3,0.61
"Vyatka State Agricultural Academy","Russian Federation",30,400.0,16,29,366.7,0,0.0,0.5,0.20
"Advanced Energy Technologies Ltd","Russian Federation",25,-,113,21,-,0,0.0,4.5,0.52
"Moscow State Institute of Culture","Russian Federation",21,-,12,13,-,0,0.0,0.6,0.23
"Innovation and Technology Centre Proryv","Russian Federation",21,-,40,22,-,0,0.0,1.9,0.29
"AtomEnergoproekt Ltd","Russian Federation",17,200.0,10,25,450.0,0,0.0,0.6,0.11
"All-Russian Scientific Research Institute of Technical Physics & Automation","Russian Federation",16,200.0,5,26,366.7,0,0.0,0.3,0.04
"Synergy University","Russian Federation",16,-,6,16,-,0,0.0,0.4,0.12
"Churapcha State Institute of Physical Culture and Sport","Russian Federation",12,-,0,17,-,0,0.0,0.0,0.00
"Caspian Fisheries Research Institute, Russia","Russian Federation",6,-,1,6,-,0,0.0,0.2,0.02
"Scientific Research Institute of the Tyre Industry, Moscow","Russian Federation",3,-,1,2,0.0,0,0.0,0.3,0.04
"Institute of Nuclear Materials, Zarechnyi","Russian Federation",2,-,0,2,0.0,0,0.0,0.0,0.00
"Buryat State Academy of Agriculture","Russian Federation",2,-100.0,1,3,-100.0,0,0.0,0.5,0.07
"International Independent Ecological-Political University","Russian Federation",1,-,0,1,0.0,0,0.0,0.0,0.00
