,place,cpu,cores,nodes,memory,nets,linpack,peak,developer
761,not Moscow,6 cpu,1 cores,5 nodes,5 memory,7 nets,1 linpack,1 peak,domestic dev
762,Moscow,1 cpu,2 cores,1 nodes,2 memory,2 nets,2 linpack,2 peak,foreign dev
763,not Moscow,9 cpu,2 cores,9 nodes,7 memory,2 nets,2 linpack,2 peak,joint dev
764,not Moscow,5 cpu,4 cores,5 nodes,1 memory,9 nets,2 linpack,4 peak,domestic dev
765,Moscow,8 cpu,4 cores,8 nodes,9 memory,10 nets,3 linpack,3 peak,foreign dev
766,not Moscow,1 cpu,2 cores,1 nodes,10 memory,10 nets,3 linpack,3 peak,foreign dev
767,not Moscow,9 cpu,6 cores,9 nodes,8 memory,4 nets,3 linpack,4 peak,joint dev
768,not Moscow,2 cpu,3 cores,2 nodes,2 memory,9 nets,4 linpack,5 peak,domestic dev
769,Moscow,2 cpu,3 cores,2 nodes,6 memory,9 nets,4 linpack,5 peak,domestic dev
770,Moscow,8 cpu,5 cores,8 nodes,5 memory,2 nets,4 linpack,3 peak,domestic dev
771,not Moscow,9 cpu,7 cores,9 nodes,8 memory,4 nets,5 linpack,4 peak,joint dev
772,not Moscow,4 cpu,5 cores,4 nodes,2 memory,9 nets,5 linpack,5 peak,domestic dev
773,Moscow,7 cpu,9 cores,7 nodes,5 memory,7 nets,5 linpack,6 peak,domestic dev
774,Moscow,6 cpu,3 cores,6 nodes,3 memory,10 nets,6 linpack,2 peak,foreign dev
775,Moscow,10 cpu,8 cores,10 nodes,10 memory,6 nets,6 linpack,7 peak,foreign dev
776,not Moscow,7 cpu,4 cores,7 nodes,4 memory,8 nets,6 linpack,7 peak,domestic dev
777,Moscow,2 cpu,5 cores,2 nodes,6 memory,3 nets,7 linpack,6 peak,foreign dev
778,not Moscow,3 cpu,6 cores,3 nodes,6 memory,6 nets,7 linpack,8 peak,joint dev
779,not Moscow,6 cpu,8 cores,6 nodes,3 memory,8 nets,7 linpack,9 peak,joint dev
780,not Moscow,10 cpu,10 cores,9 nodes,9 memory,5 nets,8 linpack,7 peak,domestic dev
781,not Moscow,10 cpu,9 cores,10 nodes,9 memory,5 nets,8 linpack,6 peak,foreign dev
782,not Moscow,7 cpu,7 cores,7 nodes,4 memory,7 nets,8 linpack,10 peak,domestic dev
783,not Moscow,4 cpu,6 cores,4 nodes,3 memory,8 nets,8 linpack,8 peak,joint dev
784,not Moscow,8 cpu,10 cores,8 nodes,8 memory,1 nets,9 linpack,10 peak,foreign dev
785,Moscow,3 cpu,7 cores,3 nodes,4 memory,8 nets,9 linpack,8 peak,foreign dev
786,not Moscow,8 cpu,9 cores,8 nodes,9 memory,6 nets,9 linpack,9 peak,foreign dev
787,not Moscow,3 cpu,8 cores,3 nodes,7 memory,10 nets,9 linpack,9 peak,foreign dev
788,Moscow,9 cpu,10 cores,10 nodes,8 memory,5 nets,10 linpack,8 peak,domestic dev
789,not Moscow,4 cpu,8 cores,6 nodes,7 memory,3 nets,10 linpack,10 peak,joint dev
790,not Moscow,5 cpu,9 cores,4 nodes,10 memory,3 nets,10 linpack,10 peak,foreign dev
791,not Moscow,10 cpu,10 cores,10 nodes,10 memory,1 nets,10 linpack,9 peak,joint dev
792,Moscow,1 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,domestic dev
793,Moscow,6 cpu,1 cores,5 nodes,1 memory,1 nets,1 linpack,1 peak,domestic dev
794,not Moscow,3 cpu,2 cores,3 nodes,3 memory,8 nets,1 linpack,2 peak,domestic dev
795,not Moscow,6 cpu,1 cores,6 nodes,3 memory,8 nets,2 linpack,1 peak,joint dev
796,Moscow,1 cpu,2 cores,1 nodes,2 memory,3 nets,2 linpack,2 peak,foreign dev
797,not Moscow,9 cpu,3 cores,9 nodes,7 memory,3 nets,2 linpack,2 peak,joint dev
798,not Moscow,5 cpu,4 cores,5 nodes,1 memory,9 nets,3 linpack,4 peak,domestic dev
799,Moscow,8 cpu,4 cores,8 nodes,9 memory,10 nets,3 linpack,3 peak,foreign dev
800,not Moscow,1 cpu,2 cores,1 nodes,10 memory,10 nets,3 linpack,3 peak,foreign dev
801,not Moscow,2 cpu,3 cores,2 nodes,2 memory,9 nets,4 linpack,5 peak,domestic dev
802,Moscow,2 cpu,4 cores,2 nodes,6 memory,9 nets,4 linpack,5 peak,domestic dev
803,Moscow,8 cpu,5 cores,8 nodes,6 memory,2 nets,4 linpack,4 peak,domestic dev
804,not Moscow,9 cpu,7 cores,9 nodes,8 memory,4 nets,5 linpack,4 peak,joint dev
805,not Moscow,5 cpu,5 cores,4 nodes,2 memory,9 nets,5 linpack,5 peak,domestic dev
806,Moscow,7 cpu,9 cores,7 nodes,5 memory,7 nets,5 linpack,6 peak,domestic dev
807,Moscow,7 cpu,3 cores,7 nodes,3 memory,10 nets,6 linpack,3 peak,foreign dev
808,Moscow,10 cpu,8 cores,10 nodes,10 memory,6 nets,6 linpack,7 peak,foreign dev
809,not Moscow,7 cpu,5 cores,7 nodes,4 memory,7 nets,6 linpack,7 peak,domestic dev
810,Moscow,2 cpu,6 cores,2 nodes,7 memory,2 nets,7 linpack,6 peak,foreign dev
811,not Moscow,3 cpu,6 cores,3 nodes,6 memory,6 nets,7 linpack,7 peak,joint dev
812,not Moscow,6 cpu,8 cores,6 nodes,4 memory,8 nets,7 linpack,9 peak,joint dev
813,not Moscow,10 cpu,10 cores,9 nodes,9 memory,6 nets,7 linpack,7 peak,domestic dev
814,not Moscow,10 cpu,9 cores,10 nodes,9 memory,1 nets,8 linpack,9 peak,joint dev
815,not Moscow,9 cpu,9 cores,10 nodes,9 memory,5 nets,8 linpack,6 peak,foreign dev
816,not Moscow,10 cpu,10 cores,10 nodes,10 memory,2 nets,8 linpack,9 peak,joint dev
817,not Moscow,7 cpu,7 cores,7 nodes,5 memory,7 nets,8 linpack,10 peak,domestic dev
818,not Moscow,4 cpu,6 cores,4 nodes,4 memory,8 nets,9 linpack,8 peak,joint dev
819,not Moscow,8 cpu,10 cores,8 nodes,8 memory,1 nets,9 linpack,10 peak,foreign dev
820,Moscow,3 cpu,7 cores,3 nodes,5 memory,7 nets,9 linpack,8 peak,foreign dev
821,not Moscow,8 cpu,9 cores,8 nodes,8 memory,5 nets,9 linpack,8 peak,foreign dev
822,not Moscow,4 cpu,7 cores,4 nodes,7 memory,10 nets,10 linpack,9 peak,foreign dev
823,Moscow,9 cpu,10 cores,9 nodes,8 memory,5 nets,10 linpack,8 peak,domestic dev
824,not Moscow,4 cpu,8 cores,6 nodes,7 memory,4 nets,10 linpack,10 peak,joint dev
825,not Moscow,5 cpu,8 cores,5 nodes,10 memory,3 nets,10 linpack,10 peak,foreign dev
826,Moscow,1 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,domestic dev
827,Moscow,5 cpu,3 cores,6 nodes,4 memory,10 nets,1 linpack,1 peak,foreign dev
828,Moscow,4 cpu,1 cores,4 nodes,1 memory,1 nets,1 linpack,1 peak,domestic dev
829,Moscow,6 cpu,3 cores,3 nodes,5 memory,1 nets,2 linpack,2 peak,domestic dev
830,not Moscow,3 cpu,2 cores,3 nodes,4 memory,8 nets,2 linpack,2 peak,domestic dev
831,not Moscow,5 cpu,1 cores,6 nodes,3 memory,8 nets,2 linpack,2 peak,joint dev
832,Moscow,1 cpu,2 cores,1 nodes,2 memory,3 nets,3 linpack,3 peak,foreign dev
833,not Moscow,9 cpu,3 cores,9 nodes,8 memory,4 nets,3 linpack,3 peak,joint dev
834,not Moscow,4 cpu,5 cores,4 nodes,2 memory,9 nets,3 linpack,6 peak,domestic dev
835,Moscow,8 cpu,5 cores,8 nodes,10 memory,10 nets,4 linpack,4 peak,foreign dev
836,not Moscow,9 cpu,9 cores,9 nodes,9 memory,2 nets,4 linpack,5 peak,domestic dev
837,Moscow,8 cpu,6 cores,8 nodes,8 memory,9 nets,4 linpack,4 peak,foreign dev
838,not Moscow,1 cpu,2 cores,1 nodes,10 memory,10 nets,5 linpack,4 peak,foreign dev
839,Moscow,9 cpu,8 cores,10 nodes,10 memory,10 nets,5 linpack,5 peak,foreign dev
840,not Moscow,2 cpu,4 cores,2 nodes,3 memory,8 nets,5 linpack,6 peak,domestic dev
841,Moscow,2 cpu,4 cores,2 nodes,7 memory,9 nets,6 linpack,7 peak,domestic dev
842,Moscow,7 cpu,8 cores,7 nodes,2 memory,1 nets,6 linpack,7 peak,foreign dev
843,Moscow,8 cpu,7 cores,8 nodes,7 memory,3 nets,6 linpack,5 peak,domestic dev
844,not Moscow,4 cpu,7 cores,5 nodes,6 memory,7 nets,7 linpack,8 peak,foreign dev
845,not Moscow,9 cpu,8 cores,9 nodes,8 memory,5 nets,7 linpack,6 peak,joint dev
846,not Moscow,3 cpu,6 cores,4 nodes,3 memory,8 nets,7 linpack,7 peak,domestic dev
847,Moscow,7 cpu,9 cores,7 nodes,6 memory,6 nets,7 linpack,8 peak,domestic dev
848,not Moscow,6 cpu,5 cores,6 nodes,4 memory,7 nets,8 linpack,7 peak,domestic dev
849,Moscow,7 cpu,4 cores,7 nodes,5 memory,9 nets,8 linpack,3 peak,foreign dev
850,Moscow,10 cpu,8 cores,10 nodes,10 memory,6 nets,8 linpack,9 peak,foreign dev
851,not Moscow,7 cpu,6 cores,7 nodes,6 memory,7 nets,8 linpack,9 peak,domestic dev
852,Moscow,2 cpu,7 cores,2 nodes,7 memory,3 nets,9 linpack,9 peak,foreign dev
853,Moscow,6 cpu,9 cores,5 nodes,1 memory,5 nets,9 linpack,8 peak,foreign dev
854,not Moscow,3 cpu,7 cores,3 nodes,7 memory,4 nets,9 linpack,10 peak,joint dev
855,not Moscow,5 cpu,9 cores,5 nodes,5 memory,7 nets,9 linpack,10 peak,joint dev
856,not Moscow,10 cpu,10 cores,9 nodes,9 memory,6 nets,10 linpack,9 peak,domestic dev
857,not Moscow,10 cpu,10 cores,10 nodes,9 memory,2 nets,10 linpack,10 peak,joint dev
858,Moscow,8 cpu,10 cores,8 nodes,8 memory,2 nets,10 linpack,10 peak,foreign dev
859,not Moscow,10 cpu,10 cores,10 nodes,9 memory,5 nets,10 linpack,8 peak,foreign dev
860,Moscow,2 cpu,1 cores,1 nodes,1 memory,3 nets,1 linpack,1 peak,domestic dev
861,Moscow,1 cpu,1 cores,1 nodes,1 memory,7 nets,1 linpack,1 peak,domestic dev
862,not Moscow,2 cpu,2 cores,2 nodes,1 memory,1 nets,1 linpack,1 peak,domestic dev
863,Moscow,5 cpu,2 cores,5 nodes,2 memory,2 nets,2 linpack,2 peak,domestic dev
864,not Moscow,5 cpu,1 cores,6 nodes,4 memory,8 nets,2 linpack,2 peak,domestic dev
865,not Moscow,3 cpu,2 cores,3 nodes,5 memory,8 nets,2 linpack,2 peak,domestic dev
866,not Moscow,7 cpu,3 cores,4 nodes,9 memory,1 nets,3 linpack,3 peak,domestic dev
867,Moscow,1 cpu,3 cores,1 nodes,3 memory,4 nets,3 linpack,3 peak,foreign dev
868,not Moscow,9 cpu,4 cores,9 nodes,8 memory,5 nets,3 linpack,3 peak,joint dev
869,Moscow,4 cpu,4 cores,4 nodes,2 memory,2 nets,4 linpack,4 peak,domestic dev
870,not Moscow,9 cpu,10 cores,10 nodes,9 memory,4 nets,4 linpack,5 peak,domestic dev
871,not Moscow,5 cpu,6 cores,5 nodes,3 memory,9 nets,4 linpack,6 peak,domestic dev
872,Moscow,8 cpu,5 cores,8 nodes,9 memory,10 nets,5 linpack,4 peak,foreign dev
873,not Moscow,1 cpu,3 cores,2 nodes,10 memory,10 nets,5 linpack,5 peak,foreign dev
874,Moscow,10 cpu,6 cores,9 nodes,10 memory,2 nets,5 linpack,6 peak,domestic dev
875,not Moscow,2 cpu,5 cores,2 nodes,4 memory,9 nets,6 linpack,7 peak,domestic dev
876,Moscow,3 cpu,5 cores,3 nodes,7 memory,10 nets,6 linpack,7 peak,domestic dev
877,Moscow,7 cpu,9 cores,7 nodes,3 memory,3 nets,6 linpack,8 peak,foreign dev
878,Moscow,9 cpu,7 cores,9 nodes,7 memory,4 nets,7 linpack,5 peak,domestic dev
879,not Moscow,6 cpu,8 cores,6 nodes,6 memory,7 nets,7 linpack,8 peak,foreign dev
880,not Moscow,9 cpu,9 cores,9 nodes,8 memory,6 nets,7 linpack,6 peak,joint dev
881,not Moscow,4 cpu,7 cores,5 nodes,4 memory,9 nets,8 linpack,7 peak,domestic dev
882,not Moscow,10 cpu,8 cores,10 nodes,9 memory,5 nets,8 linpack,8 peak,foreign dev
883,Moscow,8 cpu,10 cores,8 nodes,6 memory,7 nets,8 linpack,9 peak,domestic dev
884,not Moscow,6 cpu,6 cores,7 nodes,5 memory,8 nets,8 linpack,8 peak,domestic dev
885,Moscow,7 cpu,4 cores,7 nodes,5 memory,10 nets,9 linpack,4 peak,foreign dev
886,Moscow,8 cpu,10 cores,8 nodes,8 memory,3 nets,9 linpack,10 peak,foreign dev
887,Moscow,10 cpu,9 cores,10 nodes,10 memory,6 nets,9 linpack,10 peak,foreign dev
888,not Moscow,8 cpu,7 cores,8 nodes,6 memory,8 nets,9 linpack,10 peak,domestic dev
889,Moscow,3 cpu,8 cores,3 nodes,8 memory,5 nets,10 linpack,9 peak,foreign dev
890,Moscow,6 cpu,9 cores,6 nodes,2 memory,9 nets,10 linpack,9 peak,foreign dev
891,not Moscow,10 cpu,10 cores,10 nodes,10 memory,1 nets,10 linpack,9 peak,domestic dev
892,not Moscow,4 cpu,8 cores,4 nodes,7 memory,6 nets,10 linpack,10 peak,joint dev
893,Moscow,2 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,domestic dev
894,Moscow,1 cpu,1 cores,1 nodes,1 memory,7 nets,1 linpack,1 peak,domestic dev
895,not Moscow,2 cpu,2 cores,2 nodes,2 memory,1 nets,1 linpack,1 peak,domestic dev
896,Moscow,5 cpu,2 cores,5 nodes,3 memory,2 nets,2 linpack,2 peak,domestic dev
897,Moscow,3 cpu,4 cores,3 nodes,1 memory,1 nets,2 linpack,2 peak,joint dev
898,not Moscow,5 cpu,1 cores,6 nodes,5 memory,8 nets,2 linpack,2 peak,domestic dev
899,not Moscow,4 cpu,2 cores,4 nodes,5 memory,8 nets,3 linpack,3 peak,domestic dev
900,not Moscow,7 cpu,3 cores,4 nodes,9 memory,3 nets,3 linpack,3 peak,domestic dev
901,Moscow,1 cpu,3 cores,1 nodes,4 memory,5 nets,3 linpack,3 peak,foreign dev
902,not Moscow,9 cpu,4 cores,9 nodes,8 memory,5 nets,4 linpack,4 peak,joint dev
903,Moscow,4 cpu,4 cores,4 nodes,2 memory,2 nets,4 linpack,5 peak,domestic dev
904,not Moscow,9 cpu,10 cores,10 nodes,9 memory,4 nets,4 linpack,6 peak,domestic dev
905,Moscow,9 cpu,8 cores,9 nodes,9 memory,4 nets,5 linpack,4 peak,foreign dev
906,not Moscow,5 cpu,7 cores,5 nodes,3 memory,9 nets,5 linpack,7 peak,domestic dev
907,Moscow,8 cpu,6 cores,8 nodes,10 memory,10 nets,5 linpack,5 peak,foreign dev
908,not Moscow,1 cpu,3 cores,2 nodes,10 memory,10 nets,6 linpack,5 peak,foreign dev
909,Moscow,10 cpu,6 cores,9 nodes,10 memory,2 nets,6 linpack,7 peak,domestic dev
910,not Moscow,2 cpu,5 cores,2 nodes,4 memory,9 nets,6 linpack,7 peak,domestic dev
911,Moscow,3 cpu,5 cores,3 nodes,7 memory,9 nets,7 linpack,8 peak,domestic dev
912,Moscow,7 cpu,9 cores,7 nodes,3 memory,3 nets,7 linpack,9 peak,foreign dev
913,Moscow,9 cpu,7 cores,9 nodes,7 memory,5 nets,7 linpack,6 peak,domestic dev
914,not Moscow,6 cpu,8 cores,6 nodes,6 memory,7 nets,7 linpack,9 peak,foreign dev
915,not Moscow,10 cpu,9 cores,10 nodes,8 memory,6 nets,8 linpack,6 peak,joint dev
916,not Moscow,4 cpu,7 cores,5 nodes,4 memory,8 nets,8 linpack,8 peak,domestic dev
917,Moscow,6 cpu,9 cores,6 nodes,2 memory,9 nets,8 linpack,8 peak,foreign dev
918,not Moscow,10 cpu,10 cores,10 nodes,10 memory,3 nets,8 linpack,7 peak,domestic dev
919,not Moscow,8 cpu,9 cores,8 nodes,7 memory,10 nets,9 linpack,9 peak,domestic dev
920,not Moscow,10 cpu,8 cores,10 nodes,9 memory,6 nets,9 linpack,9 peak,foreign dev
921,Moscow,8 cpu,10 cores,8 nodes,7 memory,7 nets,9 linpack,10 peak,domestic dev
922,not Moscow,6 cpu,6 cores,7 nodes,5 memory,8 nets,9 linpack,8 peak,domestic dev
923,Moscow,7 cpu,5 cores,7 nodes,6 memory,10 nets,10 linpack,4 peak,foreign dev
924,Moscow,8 cpu,10 cores,8 nodes,8 memory,1 nets,10 linpack,10 peak,foreign dev
925,not Moscow,7 cpu,7 cores,7 nodes,6 memory,7 nets,10 linpack,10 peak,domestic dev
926,Moscow,3 cpu,8 cores,3 nodes,8 memory,6 nets,10 linpack,10 peak,foreign dev
927,Moscow,2 cpu,1 cores,1 nodes,1 memory,2 nets,1 linpack,1 peak,domestic dev
928,Moscow,1 cpu,1 cores,1 nodes,1 memory,7 nets,1 linpack,1 peak,domestic dev
929,not Moscow,2 cpu,2 cores,2 nodes,2 memory,5 nets,1 linpack,1 peak,domestic dev
930,Moscow,6 cpu,4 cores,6 nodes,3 memory,1 nets,2 linpack,2 peak,domestic dev
931,Moscow,5 cpu,2 cores,5 nodes,4 memory,3 nets,2 linpack,2 peak,domestic dev
932,Moscow,3 cpu,4 cores,3 nodes,1 memory,5 nets,2 linpack,3 peak,joint dev
933,not Moscow,5 cpu,1 cores,6 nodes,5 memory,8 nets,3 linpack,2 peak,domestic dev
934,not Moscow,3 cpu,2 cores,3 nodes,6 memory,7 nets,3 linpack,3 peak,domestic dev
935,not Moscow,6 cpu,3 cores,5 nodes,9 memory,4 nets,3 linpack,3 peak,domestic dev
936,Moscow,1 cpu,3 cores,1 nodes,5 memory,6 nets,4 linpack,4 peak,foreign dev
937,not Moscow,9 cpu,5 cores,9 nodes,8 memory,6 nets,4 linpack,4 peak,joint dev
938,Moscow,7 cpu,8 cores,7 nodes,4 memory,1 nets,4 linpack,6 peak,domestic dev
939,Moscow,4 cpu,5 cores,4 nodes,2 memory,4 nets,5 linpack,5 peak,domestic dev
940,not Moscow,10 cpu,10 cores,10 nodes,9 memory,3 nets,5 linpack,6 peak,domestic dev
941,not Moscow,2 cpu,4 cores,2 nodes,3 memory,9 nets,5 linpack,6 peak,domestic dev
942,Moscow,9 cpu,8 cores,9 nodes,9 memory,2 nets,5 linpack,5 peak,foreign dev
943,not Moscow,5 cpu,7 cores,5 nodes,5 memory,8 nets,6 linpack,7 peak,domestic dev
944,Moscow,8 cpu,6 cores,8 nodes,10 memory,10 nets,6 linpack,5 peak,foreign dev
945,not Moscow,1 cpu,3 cores,2 nodes,10 memory,10 nets,6 linpack,5 peak,foreign dev
946,not Moscow,4 cpu,6 cores,4 nodes,6 memory,8 nets,6 linpack,8 peak,foreign dev
947,Moscow,10 cpu,6 cores,9 nodes,10 memory,5 nets,7 linpack,7 peak,domestic dev
948,Moscow,3 cpu,5 cores,3 nodes,7 memory,9 nets,7 linpack,8 peak,domestic dev
949,not Moscow,5 cpu,6 cores,5 nodes,3 memory,9 nets,7 linpack,7 peak,foreign dev
950,Moscow,7 cpu,9 cores,7 nodes,4 memory,1 nets,7 linpack,9 peak,foreign dev
951,Moscow,9 cpu,7 cores,9 nodes,7 memory,5 nets,8 linpack,6 peak,domestic dev
952,not Moscow,9 cpu,9 cores,10 nodes,8 memory,6 nets,8 linpack,7 peak,joint dev
953,not Moscow,4 cpu,7 cores,4 nodes,5 memory,8 nets,8 linpack,9 peak,domestic dev
954,Moscow,7 cpu,9 cores,8 nodes,6 memory,2 nets,8 linpack,10 peak,foreign dev
955,Moscow,6 cpu,8 cores,6 nodes,2 memory,9 nets,9 linpack,8 peak,foreign dev
956,not Moscow,10 cpu,10 cores,10 nodes,10 memory,4 nets,9 linpack,8 peak,domestic dev
957,not Moscow,8 cpu,10 cores,8 nodes,8 memory,10 nets,9 linpack,10 peak,domestic dev
958,not Moscow,10 cpu,8 cores,10 nodes,9 memory,6 nets,9 linpack,9 peak,foreign dev
959,Moscow,8 cpu,10 cores,7 nodes,7 memory,7 nets,10 linpack,10 peak,domestic dev
960,not Moscow,6 cpu,7 cores,6 nodes,6 memory,7 nets,10 linpack,9 peak,domestic dev
961,Moscow,8 cpu,9 cores,8 nodes,8 memory,3 nets,10 linpack,10 peak,foreign dev
962,Moscow,7 cpu,5 cores,7 nodes,7 memory,10 nets,10 linpack,4 peak,foreign dev
963,Moscow,2 cpu,1 cores,1 nodes,1 memory,3 nets,1 linpack,1 peak,domestic dev
964,Moscow,1 cpu,1 cores,1 nodes,1 memory,7 nets,1 linpack,1 peak,domestic dev
965,not Moscow,2 cpu,2 cores,2 nodes,2 memory,5 nets,1 linpack,1 peak,domestic dev
966,Moscow,5 cpu,2 cores,5 nodes,4 memory,3 nets,2 linpack,2 peak,domestic dev
967,Moscow,6 cpu,4 cores,6 nodes,3 memory,1 nets,2 linpack,2 peak,domestic dev
968,Moscow,3 cpu,4 cores,3 nodes,1 memory,5 nets,2 linpack,3 peak,joint dev
969,not Moscow,5 cpu,1 cores,6 nodes,5 memory,8 nets,3 linpack,2 peak,domestic dev
970,not Moscow,3 cpu,2 cores,3 nodes,6 memory,8 nets,3 linpack,3 peak,domestic dev
971,not Moscow,6 cpu,3 cores,4 nodes,9 memory,4 nets,3 linpack,3 peak,domestic dev
972,Moscow,1 cpu,3 cores,1 nodes,5 memory,6 nets,4 linpack,4 peak,foreign dev
973,not Moscow,9 cpu,5 cores,9 nodes,8 memory,6 nets,4 linpack,4 peak,joint dev
974,Moscow,7 cpu,8 cores,7 nodes,4 memory,1 nets,4 linpack,5 peak,domestic dev
975,Moscow,4 cpu,5 cores,4 nodes,2 memory,4 nets,5 linpack,5 peak,domestic dev
976,not Moscow,10 cpu,10 cores,10 nodes,9 memory,3 nets,5 linpack,6 peak,domestic dev
977,not Moscow,2 cpu,4 cores,2 nodes,3 memory,9 nets,5 linpack,6 peak,domestic dev
978,Moscow,9 cpu,8 cores,9 nodes,9 memory,2 nets,5 linpack,4 peak,foreign dev
979,not Moscow,5 cpu,7 cores,5 nodes,5 memory,9 nets,6 linpack,7 peak,domestic dev
980,Moscow,8 cpu,6 cores,8 nodes,10 memory,10 nets,6 linpack,5 peak,foreign dev
981,not Moscow,1 cpu,3 cores,2 nodes,10 memory,10 nets,6 linpack,5 peak,foreign dev
982,not Moscow,4 cpu,5 cores,4 nodes,6 memory,8 nets,6 linpack,8 peak,foreign dev
983,Moscow,10 cpu,6 cores,8 nodes,10 memory,5 nets,7 linpack,7 peak,domestic dev
984,Moscow,6 cpu,7 cores,6 nodes,2 memory,9 nets,7 linpack,6 peak,foreign dev
985,Moscow,3 cpu,5 cores,3 nodes,7 memory,10 nets,7 linpack,8 peak,domestic dev
986,Moscow,9 cpu,10 cores,9 nodes,8 memory,1 nets,7 linpack,9 peak,domestic dev
987,not Moscow,5 cpu,6 cores,5 nodes,3 memory,9 nets,8 linpack,7 peak,foreign dev
988,Moscow,7 cpu,9 cores,7 nodes,4 memory,5 nets,8 linpack,9 peak,foreign dev
989,Moscow,8 cpu,7 cores,9 nodes,7 memory,6 nets,8 linpack,6 peak,domestic dev
990,not Moscow,9 cpu,8 cores,10 nodes,8 memory,7 nets,8 linpack,7 peak,joint dev
991,not Moscow,4 cpu,7 cores,5 nodes,5 memory,8 nets,9 linpack,8 peak,domestic dev
992,Moscow,7 cpu,9 cores,7 nodes,6 memory,2 nets,9 linpack,10 peak,foreign dev
993,not Moscow,10 cpu,10 cores,10 nodes,10 memory,4 nets,9 linpack,8 peak,domestic dev
994,not Moscow,8 cpu,9 cores,8 nodes,7 memory,10 nets,9 linpack,10 peak,domestic dev
995,not Moscow,10 cpu,8 cores,10 nodes,9 memory,6 nets,10 linpack,9 peak,foreign dev
996,Moscow,7 cpu,10 cores,7 nodes,7 memory,7 nets,10 linpack,10 peak,domestic dev
997,not Moscow,6 cpu,6 cores,6 nodes,6 memory,7 nets,10 linpack,9 peak,domestic dev
998,Moscow,8 cpu,9 cores,8 nodes,8 memory,2 nets,10 linpack,10 peak,foreign dev
999,Moscow,2 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,domestic dev
1000,Moscow,1 cpu,1 cores,1 nodes,1 memory,9 nets,1 linpack,1 peak,domestic dev
1001,not Moscow,2 cpu,2 cores,2 nodes,2 memory,6 nets,1 linpack,1 peak,domestic dev
1002,Moscow,5 cpu,2 cores,5 nodes,4 memory,5 nets,2 linpack,2 peak,domestic dev
1003,Moscow,6 cpu,4 cores,6 nodes,3 memory,6 nets,2 linpack,2 peak,domestic dev
1004,Moscow,3 cpu,4 cores,3 nodes,2 memory,5 nets,2 linpack,3 peak,joint dev
1005,not Moscow,5 cpu,1 cores,6 nodes,5 memory,9 nets,3 linpack,2 peak,domestic dev
1006,not Moscow,3 cpu,2 cores,3 nodes,6 memory,8 nets,3 linpack,3 peak,domestic dev
1007,not Moscow,6 cpu,3 cores,4 nodes,9 memory,3 nets,3 linpack,3 peak,domestic dev
1008,Moscow,6 cpu,6 cores,6 nodes,4 memory,2 nets,4 linpack,4 peak,domestic dev
1009,Moscow,1 cpu,3 cores,1 nodes,5 memory,7 nets,4 linpack,4 peak,foreign dev
1010,not Moscow,8 cpu,4 cores,9 nodes,8 memory,6 nets,4 linpack,4 peak,joint dev
1011,Moscow,7 cpu,8 cores,7 nodes,4 memory,1 nets,4 linpack,6 peak,domestic dev
1012,Moscow,4 cpu,5 cores,4 nodes,3 memory,5 nets,5 linpack,5 peak,domestic dev
1013,not Moscow,9 cpu,9 cores,9 nodes,9 memory,3 nets,5 linpack,6 peak,domestic dev
1014,not Moscow,2 cpu,4 cores,2 nodes,3 memory,7 nets,5 linpack,6 peak,domestic dev
1015,Moscow,8 cpu,8 cores,8 nodes,8 memory,3 nets,5 linpack,4 peak,foreign dev
1016,Moscow,5 cpu,6 cores,5 nodes,1 memory,8 nets,6 linpack,5 peak,foreign dev
1017,not Moscow,5 cpu,7 cores,5 nodes,5 memory,8 nets,6 linpack,7 peak,domestic dev
1018,Moscow,7 cpu,6 cores,7 nodes,10 memory,10 nets,6 linpack,5 peak,foreign dev
1019,not Moscow,8 cpu,9 cores,8 nodes,7 memory,8 nets,6 linpack,8 peak,domestic dev
1020,not Moscow,1 cpu,3 cores,2 nodes,10 memory,10 nets,7 linpack,5 peak,foreign dev
1021,not Moscow,4 cpu,5 cores,4 nodes,6 memory,9 nets,7 linpack,8 peak,foreign dev
1022,Moscow,9 cpu,6 cores,8 nodes,10 memory,2 nets,7 linpack,7 peak,domestic dev
1023,not Moscow,4 cpu,5 cores,5 nodes,2 memory,5 nets,7 linpack,7 peak,foreign dev
1024,Moscow,10 cpu,10 cores,10 nodes,9 memory,1 nets,8 linpack,8 peak,domestic dev
1025,Moscow,3 cpu,5 cores,3 nodes,7 memory,10 nets,8 linpack,9 peak,domestic dev
1026,not Moscow,9 cpu,10 cores,9 nodes,6 memory,1 nets,8 linpack,9 peak,domestic dev
1027,Moscow,6 cpu,9 cores,6 nodes,4 memory,4 nets,8 linpack,10 peak,foreign dev
1028,Moscow,8 cpu,7 cores,8 nodes,7 memory,6 nets,9 linpack,6 peak,domestic dev
1029,not Moscow,10 cpu,8 cores,10 nodes,8 memory,4 nets,9 linpack,9 peak,domestic dev
1030,not Moscow,9 cpu,8 cores,9 nodes,8 memory,7 nets,9 linpack,7 peak,joint dev
1031,not Moscow,4 cpu,7 cores,4 nodes,5 memory,9 nets,9 linpack,9 peak,domestic dev
