,place,cpu,cores,nodes,memory,nets,linpack,peak,developer
316,not Moscow,7 cpu,9 cores,6 nodes,9 memory,10 nets,9 linpack,10 peak,domestic dev
317,not Moscow,7 cpu,5 cores,6 nodes,7 memory,9 nets,9 linpack,7 peak,domestic dev
318,not Moscow,3 cpu,4 cores,9 nodes,4 memory,9 nets,9 linpack,6 peak,foreign dev
319,not Moscow,4 cpu,5 cores,10 nodes,5 memory,6 nets,9 linpack,6 peak,foreign dev
320,not Moscow,8 cpu,10 cores,6 nodes,8 memory,8 nets,10 linpack,10 peak,domestic dev
321,not Moscow,8 cpu,10 cores,6 nodes,10 memory,4 nets,10 linpack,10 peak,domestic dev
322,not Moscow,6 cpu,8 cores,5 nodes,6 memory,3 nets,10 linpack,9 peak,domestic dev
323,not Moscow,8 cpu,10 cores,10 nodes,6 memory,10 nets,10 linpack,7 peak,foreign dev
324,Moscow,3 cpu,4 cores,10 nodes,5 memory,9 nets,10 linpack,7 peak,foreign dev
325,Moscow,1 cpu,1 cores,1 nodes,1 memory,5 nets,1 linpack,1 peak,domestic dev
326,Moscow,1 cpu,1 cores,1 nodes,1 memory,5 nets,1 linpack,1 peak,foreign dev
327,not Moscow,2 cpu,1 cores,2 nodes,1 memory,6 nets,1 linpack,1 peak,foreign dev
328,not Moscow,2 cpu,2 cores,2 nodes,2 memory,5 nets,1 linpack,2 peak,domestic dev
329,not Moscow,2 cpu,1 cores,2 nodes,10 memory,4 nets,2 linpack,1 peak,foreign dev
330,not Moscow,2 cpu,2 cores,1 nodes,2 memory,1 nets,2 linpack,2 peak,domestic dev
331,not Moscow,3 cpu,2 cores,2 nodes,2 memory,7 nets,2 linpack,2 peak,foreign dev
332,Moscow,2 cpu,3 cores,2 nodes,10 memory,4 nets,2 linpack,2 peak,foreign dev
333,not Moscow,3 cpu,2 cores,3 nodes,1 memory,7 nets,2 linpack,2 peak,domestic dev
334,Moscow,3 cpu,3 cores,3 nodes,2 memory,9 nets,3 linpack,3 peak,joint dev
335,not Moscow,5 cpu,3 cores,5 nodes,3 memory,1 nets,3 linpack,3 peak,domestic dev
336,not Moscow,4 cpu,4 cores,4 nodes,5 memory,6 nets,3 linpack,3 peak,domestic dev
337,Moscow,1 cpu,2 cores,9 nodes,10 memory,2 nets,3 linpack,3 peak,foreign dev
