,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
86,Курчатовский институт,2009,864.0,3456.0,432.0,4849.664000000001,20.0,25.08,34.27,628930.3,1,127,111,115,198,74
87,ЛИТ ОИЯИ,2009,200.0,560.0,100.0,1120.0,1.0,2.98,6.07,217339.7,1,390,203,213,322,197
88,МГТУ им. Н. Э.Баумана,2009,206.0,412.0,103.0,421.88800000000003,2.5,2.13,3.07,628930.3,1,7,13,42,108,3
89,МГУ,2009,3298.0,13192.0,633.0,5644.2880000000005,12.5,70.53999999999999,87.6,628930.3,2,997,687,1164,2043,516
90,МГУПС,2009,128.0,512.0,64.0,1048.576,20.0,3.89,4.71,628930.3,1,2,1,1,11,1
91,МФТИ,2009,272.0,544.0,136.0,544.0,2.0,4.53,6.53,628930.3,1,86,62,79,127,45
92,НГУ,2009,128.0,512.0,64.0,1048.576,20.0,4.09,5.45,160210.4,1,140,128,184,195,81
93,ННГУ,2009,128.0,256.0,64.0,0.25,1.0,1.34,2.72,164071.8,1,54,52,81,166,27
94,ОИВТ РАН,2009,48.0,192.0,24.0,192.0,2.5,1.4,1.79,628930.3,1,82,65,59,92,46
95,ПНИПУ,2009,128.0,512.0,64.0,524.288,2.5,3.17,4.1,203364.2,1,2,5,12,21,2
96,РГУ им. Губкина,2009,84.0,168.0,42.0,86.016,20.0,1.09,1.57,628930.3,1,2,6,27,53,2
97,СПбГПУ,2009,130.0,260.0,65.0,532.48,2.5,1.04,1.25,306454.8,1,75,51,113,171,38
98,СПбГУ,2009,96.0,384.0,48.0,192.0,2.5,2.17,3.07,306454.8,1,323,238,299,522,167
99,СФУ,2009,452.0,1808.0,226.0,0.0,2.5,13.06,16.87,264478.7,1,37,36,69,89,14
100,ТГУ,2009,564.0,1128.0,282.0,1155.0720000000001,10.0,9.01,12.0,237293.3,1,36,40,71,136,24
101,УГАТУ,2009,532.0,2128.0,266.0,2179.072,2.5,15.33,19.86,159428.7,1,16,8,22,39,15
102,ЮУрГУ,2009,332.0,1328.0,166.0,1359.872,2.5,12.36,15.94,159901.0,1,3,5,17,42,1
103,ЮФУ,2009,618.0,2472.0,181.0,4920.0,22.5,18.06,23.64,129626.0,2,62,61,158,197,29
104,БФУ имени И. Канта,2010,136.0,544.0,68.0,557.056,2.5,3.75,5.07,208193.2,1,1,1,4,3,0
105,ВлГУ,2010,140.0,620.0,70.0,561.152,20.0,3.76,4.77,155494.2,1,1,1,14,34,0
106,ВятГУ,2010,480.0,1920.0,240.0,983.04,20.0,13.96,17.89,128073.7,1,0,1,3,9,0
107,ИВМиМГ СО РАН,2010,128.0,512.0,64.0,1048.576,20.0,4.42,6.14,181732.7,1,9,9,22,55,4
108,ИММ УРО РАН,2010,416.0,1664.0,208.0,3584.0,20.0,14.62,19.5,243234.2,1,5,7,6,101,1
109,ИПХФ РАН,2010,504.0,504.0,252.0,516.096,2.0,2.92,4.44,259421.5,1,61,62,141,171,34
110,КазНЦ РАН,2010,192.0,768.0,96.0,786.432,20.0,7.07,9.22,264561.7,1,2,5,15,23,0
111,Курчатовский институт,2010,3440.0,13760.0,432.0,4849.664000000001,40.0,126.28999999999999,157.92000000000002,730774.2,2,131,109,123,185,81
112,ЛИТ ОИЯИ,2010,200.0,560.0,100.0,1120.0,1.0,2.98,6.07,259421.5,1,408,158,238,288,208
113,МАИ,2010,60.0,360.0,30.0,983.04,20.0,3.17,3.74,730774.2,1,2,11,35,77,1
114,МГУ,2010,12138.0,48552.0,5053.0,63118.848,22.5,421.28000000000003,502.27000000000004,730774.1999999998,3,998,644,1191,2074,530
115,МГУПС,2010,128.0,512.0,64.0,1048.576,20.0,3.89,4.71,730774.2,1,1,3,2,8,1
116,МФТИ,2010,272.0,544.0,136.0,544.0,2.0,4.53,6.53,730774.2,1,90,76,160,181,45
117,НГУ,2010,128.0,512.0,64.0,1048.576,20.0,4.09,5.45,181732.7,1,180,137,221,250,114
