N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
13,"Киров Междисциплинарный центр компетенций в области аэробиологии, микробиологии и нанотехнологий Вятский государственный университет 2007 г.",288/1152,узлов: 144 (2xXeon 5345 2.333 GHz 4.096 GB RAM) сеть: InfiniBand/2xGigabit Ethernet/Gigabit Ethernet,8.16 10.74,Hewlett-Packard
14,Москва Industrial Company 2007 г.,336/672,узлов: 168 (2xXeon 51xx 3 GHz) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,6.34 8.06,IBM
15,Киев Институт кибернетики НАН Украины 2008 г.,250/704,узлов: 74 (2xXeon 5160 3 GHz 8.192 GB RAM) узлов: 51 (2xXeon EM64T 2.33 GHz 16.384 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,5.32 7.35,"ИК НАН Украины, Энтри, Фолгат ФТС, Медиа Меджик"
16,Москва Logistic Services (F) 2007 г.,336/672,узлы: (Xeon 51xx 3 GHz) сеть: Gigabit Ethernet,5.24 8.06,Hewlett-Packard
17,Москва Московский физико-технический институт (МФТИ) 2007 г.,272/544,узлов: 136 (2xXeon 5160 3 GHz 4 GB RAM) сеть: Myrinet/Gigabit Ethernet/Gigabit Ethernet,4.53 6.53,"Hewlett-Packard, Институт системного программирования РАН (ИСП РАН)"
18,Новосибирск Новосибирский государственный университет 2008 г.,128/512,узлов: 64 (2xXeon 5355 2.66 GHz 16.384 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,4.09 5.45,Hewlett-Packard
19,Владимир РЦНИТ Владимирский государственный университет 2008 г.,128/512,узлов: 64 (2xXeon 5345 2.33 GHz 8 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/СКИФ-ServNet,3.76 4.77,Т-Платформы
20,Ростов-на-Дону НИИ физической и органической химии ЮФУ 2008 г.,100/400,узлов: 50 (2xXeon 5365 3 GHz 16 GB RAM) сеть: InfiniBand/Gigabit Ethernet,3.55 4.80,Fujitsu Siemens/ДВ.ком
21,"Пермь Центр высокопроизводительных вычислительных систем Пермский Государственный Технический Университет (ПГТУ), ГОУ ВПО 2008 г.",128/512,узлов: 64 (2xOpteron 2350 2 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Fast Ethernet,3.17 4.10,"ДАТА Технологии, Троник, ССТ"
22,"Киев НТУУ ""КПИ"" г.Киев 2007 г.",168/336,узлов: 84 (2xXeon 5160 3 GHz 4.096 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,3.13 4.03,"ПНВП ""ЮСТАР"""
23,Москва СберБанк 2006 г.,1312/1312,узлов: 16 (32-128 CPU HP SuperDome 1.1 GHz) сеть: HyperPlex,3.06 5.77,Hewlett-Packard
24,Дубна Лаборатория Информационных Технологий Объединенный Институт Ядерных Исследований 2008 г.,200/560,узлов: 60 (2xXeon 5150 2.667 GHz 8 GB RAM) узлов: 30 (2xXeon E5430 2.667 GHz 16 GB RAM) узлов: 10 (2xXeon X5430 3 GHz 16 GB RAM) сеть: Gigabit Ethernet/Gigabit Ethernet,2.98 6.07,"Т-Платформы, SuperMicro"
25,Черноголовка ИПХФ РАН 2008 г.,504/504,узлов: 252 (2xPowerPC 970 2.2 GHz 2.048 GB RAM) сеть: Myrinet/Gigabit Ethernet/Gigabit Ethernet,2.92 4.44,IBM
26,Минск ОИПИ НАН (Беларусь)2008 г.,60/240,узлов: 30 (2xXeon E5472 3 GHz 8 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet + IPMI,2.35 2.88,Т-Платформы
