N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
34,Самара 2005 г.,64/64,узлов: 2 (32xPOWER5 1.9 GHz 224 GB RAM) сеть: Gigabit Ethernet,0.34 0.49,IBM
36,Москва Физический факультет МГУ им. М.В.Ломоносова 2007 г.,32/64,узлов: 16 (2xXeon 5060 3.2 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet,0.33 0.41,Т-Платформы
37,Бугульма ТатНефтеГеофизика 2005 г.,72/72,узлов: 26 (2xXeon EM64T 3.6 GHz 4 GB RAM) узлов: 8 (2xXeon EM64T 3.6 GHz 2 GB RAM) сеть: Gigabit Ethernet,0.31 0.49,IBM/ROY Int
38,Москва СевМорНефтеГеофизика 2005 г.,68/68,узлов: 1 (2xXeon EM64T 3.6 GHz 2 GB RAM) узлов: 32 (2xXeon EM64T 3.6 GHz 3 GB RAM) сеть: Gigabit Ethernet,0.29 0.48,IBM/Inline
39,Москва Petroalliance 2005 г.,72/72,узлов: 32 (2xXeon EM64T 3.2 GHz 2 GB RAM) узлов: 4 (2xXeon EM64T 3.6 GHz 2 GB RAM) сеть: Gigabit Ethernet,0.29 0.46,IBM/Verysel-проекты
40,Бишкек Кыргизско Российский Славянский Университет 2006 г.,64/64,узлов: 32 (2xXeon EM64T 3 GHz 2.048 GB RAM) сеть: Myrinet/Gigabit Ethernet,0.29 0.38,Т-Платформы
41,Пермь 2005 г.,128/128,узлов: 2 (64xPA-RISC 8900 1.1 GHz 128 GB RAM) сеть: Gigabit Ethernet,0.28 0.56,Hewlett-Packard
42,Киев ИК НАН Украины 2004 г.,64/64,узлов: 32 (2xItanium 2 1.4 GHz 2 GB RAM) сеть: SCI/Gigabit Ethernet/Fast Ethernet,0.28 0.36,"ИК НАН Украины / ПНВП ""ЮСТАР"" г. Киев"
43,Якутск Якутский Государственный Университет 2006 г.,34/34,узлов: 17 (2xOpteron 280 2.4 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet,0.28 0.33,Т-Платформы
44,Санкт-Петербург 2005 г.,148/148,узлов: 2 (48xPA-RISC 8800 1 GHz 96 GB RAM) узлов: 1 (32xPA-RISC 8700+ 875 MHz 64 GB RAM) узлов: 1 (20xPA-RISC 8700 750 MHz 40 GB RAM) сеть: Gigabit Ethernet,0.28 0.56,Hewlett-Packard
45,Иваново Кафедра Высокопроизводительных вычислительных систем Ивановский государственный энергетический университет 2007 г.,64/128,узлов: 32 (2xOpteron 270 2.048 GHz 4.096 GB RAM) сеть: Gigabit Ethernet/Fast Ethernet,0.28 0.51,Собственная сборка
46,Челябинск Суперкомпьютерный центр ЮУрГУ 2004 г.,52/52,узлов: 26 (2xXeon EM64T 3.2 GHz 2 GB RAM) сеть: Infiniband (PCI-Express)/Gigabit Ethernet,0.27 0.33,Т-Платформы
47,Дубна Научно-исследовательский институт прикладной акустики 2006 г.,48/48,узлов: 26 (2xOpteron 265 1.8 GHz 4.096 GB RAM) сеть: Gigabit Ethernet/Gigabit Ethernet/СКИФ-ServNet,0.27 0.36,Т-Платформы
48,Снежинск ООО Стрела 2004 г.,66/66,узлов: 20 (2xXeon 2.8 GHz 4.096 GB RAM) узлов: 13 (2xXeon EM64T 3.2 GHz 4.096 GB RAM) сеть: InfiniBand/Fast Ethernet/Fast Ethernet,0.26 0.39,Собственная сборка
49,Тула 2005 г.,48/48,узлов: 2 (24xPOWER5 1.9 GHz 96 GB RAM) сеть: Gigabit Ethernet,0.26 0.49,IBM
50,Москва 2005 г.,144/144,узлов: 1 (64xPA-RISC 8800 1 GHz 128 GB RAM) узлов: 1 (48xPA-RISC 8700+ 875 MHz 96 GB RAM) узлов: 1 (32xPA-8600 650 MHz 32 GB RAM) сеть: Gigabit Ethernet,0.25 0.51,Hewlett-Packard
